id,set_id,equip_slot_id,desc,weight,price,can_alter,image_url
3365,1,3,"Mad Tongue Alberich's bracers.

Set with red glintstones, said to be formed by the blood of sacrifices. Strengthen thorn sorcery.

Alberich was an aloof yet disturbed heretical sorcerer said to have been driven mad by jeering tongues during his service to the Roundtable Hold long ago.",1.4,100,0,https://eldenring.fanapis.com/images/armors/17f69b16a3dl0i0o66ah0178yiaqiq.png
3366,1,1,"Mad Tongue Alberich's pointed hat, a sign of a heretical practitioner.

Set with red glintstones, said to be formed by the blood of sacrifices. Strengthens thorn sorcery.

Alberich was an aloof yet disturbed heretical sorcerer said to have been driven mad by jeering tongues during his service to the Roundtable Hold long ago.",1.7,100,1,https://eldenring.fanapis.com/images/armors/17f69377b19l0i0ol1swx6o1hyi35o.png
3367,1,1,"Mad Tongue Alberich's pointed hat, a sign of a heretical practitioner.

Set with red glintstones, said to be formed by the blood of sacrifices. Strengthens thorn sorcery.

Alberich was an aloof yet disturbed heretical sorcerer said to have been driven mad by jeering tongues during his service to the Roundtable Hold long ago.",1.0,500,1,https://eldenring.fanapis.com/images/armors/17f694c1311l0i0ol1qo5xm03vrgok.png
3368,1,2,"Mad Tongue Alberich's robe.

Set with red glintstones, said to be formed by the blood of sacrifices. Strengthens thorn sorcery.

Alberich was an aloof yet disturbed heretical sorcerer said to have been driven mad by jeering tongues during his service to the Roundtable Hold long ago.",4.1,500,1,https://eldenring.fanapis.com/images/armors/17f6995f6eal0i0nc3hn7d7pl7mx.png
3369,1,2,"Mad Tongue Alberich's robe.

Alberich was an aloof yet disturbed heretical sorcerer said to have been driven mad by jeering tongues during his service to the Roundtable Hold long ago.",3.2,100,1,https://eldenring.fanapis.com/images/armors/17f696221c3l0i0nbrxr4gcdi7uag.png
3370,1,4,"Mad Tongue Alberich's trousers.

Alberich was an aloof yet disturbed heretical sorcerer said to have been driven mad by jeering tongues during his service to the Roundtable Hold long ago.",2.5,100,0,https://eldenring.fanapis.com/images/armors/17f695b346dl0i0pf3f1fg240whfqc.png
3371,2,1,"Mask made from the largely unaltered hide of a young Albinauric.

Raises arcane, but reduces the HP recovery effects of the Flask of Crimson Tears.

A far cry from godskin, this Albinauric hide mask is the product of malicious mockery.",3.8,500,0,
3372,3,2,"Armor set with countless eyes and ears.
Worn by Gideon Ofnir, the All-Knowing.

Knowledge begins with the recognition of one's ignorance. The realization that the search for knowledge is unending. But when Gideon glimpsed into the will of Queen Marika, he shuddered in fear.

At the end that should not be.",10.7,10,1,https://eldenring.fanapis.com/images/armors/17f69515b49l0i0nbno079cqzlskebf.png
3373,3,2,"Armor set with countless eyes and ears.
Worn by Gideon Ofnir, the All-Knowing.

Knowledge begins with the recognition of one's ignorance. The realization that the search for knowledge is unending. But when Gideon glimpsed into the will of Queen Marika, he shuddered in fear.

At the end that should not be.",9.3,500,1,https://eldenring.fanapis.com/images/armors/17f69b8efedl0i0nbtfdfkxtl7iqc.png
3374,3,3,"Gauntlets set with countless eyes and ears.
Worn by Gideon Ofnir, the All-Knowing.

Knowledge begins with the recognition of one's ignorance. The realization that the search for knowledge is unending. But when Gideon glimpsed into the will of Queen Marika, he shuddered in fear.

At the end that should not be.",3.5,500,0,https://eldenring.fanapis.com/images/armors/17f6984f152l0i0nc38cztqhxqc6rw.png
