id,affinity_id,skill_id,desc,fp_cost,fp_cost_light,fp_cost_heavy,image_url
1,13,133,"This Ash of War grants an armament the Occult affinity and the following skill:""Assassin's Gambit: Skill that masks the user's presence at the cost of a self-inflicted wound. Grants near-invisibility and silences footsteps.""Usable on small and medium straight swords and thrusting swords.",5,,,https://eldenring.fanapis.com/images/ashes/17f6959211al0hzna508db0yt3kk1k.png
2,2,61,"This Ash of War grants an armament the Heavy affinity and the following skill:""Barbaric Roar: Let loose a bestial roar to rally the spirit and increase attack power. While active, strong attacks change to savage combo attacks.""Usable on melee armaments (daggers, thrusting swords, and whips excepted).",16,,,
3,1,124,"This Ash of War grants no affinity to an armament, but imparts the following skill:""Barrage: Archery skill using a bow held horizontally. Ready the bow, then fire off a rapid succession of shots faster than the eye can see.""Usable on light bows.",0,2,2,https://eldenring.fanapis.com/images/ashes/17f69632311l0hzna19sl4rzmmvk4.png
4,1,118,"This Ash of War grants no affinity to an armament, but imparts the following skill:""Barricade Shield: Skill made famous by Sir Neidhardt. Focus your energy into the shield, temporarily hardening it to deflect greater blows.""Usable on all shields.",12,,,https://eldenring.fanapis.com/images/ashes/17f6930b2bbl0hznaexvxdlscgaiq.png
5,3,157,"This Ash of War grants an armament the Keen affinity and the following skill:""Beast's Roar: Unleash a beastly roar, rending the air as a forward-travelling projectile.""Usable on all melee armaments.",10,,,https://eldenring.fanapis.com/images/ashes/17f694892c5l0hznah6w4ltudpzuj.png
6,6,59,"This Ash of War grants an armament the Flame affinity and the following skill:""Black Flame Tornado: Spin armament overhead and then punge it into the ground to summon a raging vortex of black flames. Hold to create an initial flame tornado while spinning the armament.""Usable on polearms and twinblades.",30,,,https://eldenring.fanapis.com/images/ashes/17f693ca8bfl0hzna7sr5dyvlqs7s.png
7,12,156,"This Ash of War grants an armament the Blood affinity and the following skill:""Blood Blade: Wound self to coat the armament with blood, then unleash an airborne blood blade that causes hemorrhaging. Can be fired in rapid succession.""Usable on small and medium swords.",3,,3,
8,12,62,"This Ash of War grants an armament the Blood affinity and the following skill:""Blood Tax: Blood Oath skill granted by the Lord of Blood. Twist to build power, then unleash a flurry of thrusts that rob the target of both their blood and their HP.""Usable on armaments capable of thrusting(colossal weapons excepted).",14,,,https://eldenring.fanapis.com/images/ashes/17f69877351l0hznbcbt6uafsjw6at.png
9,3,103,"This Ash of War grants an armament the Keen affinity and the following skill:""Bloodhound's Step: Skill that allows the user to become temporarily invisible while dodging at high speed. Moves faster and travels farther than a regular quickstep. This skill can be used to circle around lock-on targets.""Usable on all melee armaments.",5,,,https://eldenring.fanapis.com/images/ashes/17f69558c5el0hznater26nv2f3sgh.png
10,12,135,"This Ash of War grants an armament the Blood affinity and the following skill:""Bloody Slash: Bloody Oath skill granted by the Lord of Blood. From a low stance, coat the blade in your own blood to unleash a rending blood slash in a wide arc.""Usable on swords (colossal weapons excepted)",6,,,https://eldenring.fanapis.com/images/ashes/17f69748b38l0hznb7t11snt2v6e5to.png
11,2,67,"This Ash of War grants an armament the Heavy affinity and the following skill:""Braggart's Roar: Declare your presence with a boastful roar. Raises attack power, defense, and stamina recovery speed.""Usable on melee armaments (daggers, thrusting swords, and whips excepted ).",16,,,
12,9,17,"This Ash of War grants an armament the Magic affinity and the following skill:""Carian Grandeur: Carian royal prestige embodied in a skill. Transform blade into a magical greatsword and swing it down. Can be charged to increase its power by up to two levels.""Usable on swords (colossal weapons excepted).",26,,,https://eldenring.fanapis.com/images/ashes/17f6920fe70l0hznbb7s5p9luh70kn.png
13,9,143,"This Ash of War grants an armament the Magic affinity and the following skill:""Carian Greatsword: Carian royal prestige embodied in a skill. Transform blade into a magical greatsword and swing it down. Can be charged to increase its power.""Usable on swords (colossal weapons excepted).",16,,,https://eldenring.fanapis.com/images/ashes/17f69972a78l0hznb8uihn419g6mja.png
14,9,146,"This Ash of War grants an armament the Magic affinity and the following skill:""Carian Retaliation: Swing the shield to dispel incoming sorceries and incantations, transforming the magic into retaliatory glintblades. Can also be used in the same way as a regular parry.""Usable on small and medium shields.",8,,,https://eldenring.fanapis.com/images/ashes/17f691ce52el0hznbb8jlg0tc6t0dm.png
15,4,84,"This Ash of War grants an armament the Quality affinity and the following skill:""Charge Forth: Quickly charge forward with the armament at the hip, carrying the momentum into a thrust. Hold to cover a greater distance.""Usable on polearms capable of thrusting, heavy thrusting swords, and twinblades.",16,,,https://eldenring.fanapis.com/images/ashes/17f6997d2f3l0hznbknjad2nj3vw6.png
16,10,161,"This Ash of War grants an armament the Cold affinity and the following skill:""Chilling Mist: Coat armament in frost, and then slash, spreading frigid mist forwards. The armament retains its frost for a while.""Usable on melee armaments (whips, fists, and claws excepted).",14,,,https://eldenring.fanapis.com/images/ashes/17f69632b47l0hznbo20nfz1jomqp0m.png
17,2,154,"This Ash of War grants an armament the Heavy affinity and the following skill:""Cragblade: Skill that manipulates gravity. Bury the armament in the ground, pulling rocks from the earth to reinforce it. Increases attack power and makes it easier to break enemy stance.""Usable on melee armaments (whips excepted).",16,,,
18,4,166,"This Ash of War grants an armament the Quality affinity and the following skill:""Determination: A knightly skill. Hold the flat of the armament to your face and pledge your resolve, powering up your next attack.""Usable on all melee armaments.",10,,,https://eldenring.fanapis.com/images/ashes/17f69473c75l0hznc4u7wv3mae45bn.png
19,3,58,"This Ash of War grants an armament the Keen affinity and the following skill:""Double Slash:Skill of superior swordsmen. Perform a crossing slash attack from a low stance. Repeated inputs allow for up to two follow-up attacks.""Usable on swords and polearms capable of slashing (colossal weapons excepted).",6,,3,https://eldenring.fanapis.com/images/ashes/17f69718726l0hznc4a52929rfg1aw.png
20,2,147,"This Ash of War grants an armament the Heavy affinity and the following skill:""Earthshaker: Thrust armament into the ground, then gather strength to unleash an earth-shaking shockwave. Follow up with a strong attack to swing the armament in a sweeping strike.""Usable on greataxes, warhammers, and colossal weapons.",10,,5,
21,1,171,"This ash of war grants no affinity to an armament, but imparts the following skill:""Enchanted Shot: Archery skill that enlivens the arrow with spiritual essence. The resulting shot will fly faster than regular shots and change its trajectory to follow the target.""Usable on light bows and longbows.",0,8,8,https://eldenring.fanapis.com/images/ashes/17f6920c27el0hzncahvte5m3xhhws.png
22,2,68,"This Ash of War grants an armament the Heavy affinity and the following skill:""Endure: Assume an anchored stance to brace for incoming attacks, briefly boosting poise. Damage taken while using this skill is reduced.""Usable on all melee armaments.",9,,,https://eldenring.fanapis.com/images/ashes/17f69a074b6l0hzncbpisvienjm7.png
23,5,144,"This Ash of War grants an armament the Fire affinity and the following skill:""Eruption: Skill of the knights who serve at Volcano Manor. Slam armament into the ground, spawning roiling lava which spouts up upon release.""Usable on large and colossal swords, axes, and hammers.",14,,,https://eldenring.fanapis.com/images/ashes/17f69a3b29al0hzncgekzv3o1qoaml.png
24,5,141,"This Ash of War grants an armament the Fire affinity and the following skill:""Flame of the Redmanes: Skill of the Redmanes, who fought alongside General Radahn. Produce a powerful burst of flames in a wide frontward arc.""Usable on all melee armaments.",14,,,
25,5,137,"This Ash of War grants an armament the Fire affinity and the following skill:""Flaming Strike: Skill that emits flame in a wide frontward arc. Follow up with a strong attack to perform a lunging, sweeping strike. This will also coat the armament in fire.""Usable on melee armaments (colossal weapons and whips excepted).",4,,10,https://eldenring.fanapis.com/images/ashes/17f69717cc3l0hzncvopzfk4mhxexm.png
