id,type_id,name
1,1,Dagger
2,1,Heavy Dagger
3,1,Keen Dagger
4,1,Quality Dagger
5,1,Fire Dagger
6,1,Flame Art Dagger
7,1,Lightning Dagger
8,1,Sacred Dagger
9,1,Magic Dagger
10,1,Cold Dagger
11,1,Poison Dagger
12,1,Blood Dagger
13,1,Occult Dagger
14,1,Black Knife
15,1,Parrying Dagger
16,1,Heavy Parrying Dagger
17,1,Keen Parrying Dagger
18,1,Quality Parrying Dagger
19,1,Fire Parrying Dagger
20,1,Flame Art Parrying Dagger
21,1,Lightning Parrying Dagger
22,1,Sacred Parrying Dagger
23,1,Magic Parrying Dagger
24,1,Cold Parrying Dagger
25,1,Poison Parrying Dagger
26,1,Blood Parrying Dagger
27,1,Occult Parrying Dagger
28,1,Miséricorde
29,1,Heavy Miséricorde
30,1,Keen Miséricorde
31,1,Quality Miséricorde
32,1,Fire Miséricorde
33,1,Flame Art Miséricorde
34,1,Lightning Miséricorde
35,1,Sacred Miséricorde
36,1,Magic Miséricorde
37,1,Cold Miséricorde
38,1,Poison Miséricorde
39,1,Blood Miséricorde
40,1,Occult Miséricorde
41,1,Reduvia
42,1,Crystal Knife
43,1,Celebrant's Sickle
44,1,Celebrant's Heavy Sickle
45,1,Celebrant's Keen Sickle
46,1,Celebrant's Quality Sickle
47,1,Celebrant's Fire Sickle
48,1,Celebrant's Flame Art Sickle
49,1,Celebrant's Lightning Sickle
50,1,Celebrant's Sacred Sickle
51,1,Celebrant's Magic Sickle
52,1,Celebrant's Cold Sickle
53,1,Celebrant's Poison Sickle
54,1,Celebrant's Blood Sickle
55,1,Celebrant's Occult Sickle
56,1,Glintstone Kris
57,1,Scorpion's Stinger
58,1,Great Knife
59,1,Heavy Great Knife
60,1,Keen Great Knife
61,1,Quality Great Knife
62,1,Fire Great Knife
63,1,Flame Art Great Knife
64,1,Lightning Great Knife
65,1,Sacred Great Knife
66,1,Magic Great Knife
67,1,Cold Great Knife
68,1,Poison Great Knife
69,1,Blood Great Knife
70,1,Occult Great Knife
71,1,Wakizashi
72,1,Heavy Wakizashi
