id,info,description,fp_cost,hp_cost,hp,image_url
2718,Summons two Albinauric spirits,"Ashen remains in which spirits yet dwell.
Use to summon the spirits of two Albinaurics.

A strapping duo of cartwheeling spirits who wield ripple swords and spew freezing breath.
Both are second-generation Albinaurics, with dumpy heads that resemble those of frogs.",53.0,,922,https://eldenring.fanapis.com/images/spirits/17f698bf108l0i2rc1o532xfaytwzl.png
2719,Summons ancestral follower spirit,"Ashen remains in which spirits yet dwell.
Use to summon the spirit of an ancestral follower.

A spirit of the horned folk who eschew letters and metalworking. Brawny, and versed in distinctive spiritual arts, this particular tribesman wields a heavy bow.",63.0,,1070,https://eldenring.fanapis.com/images/spirits/17f69c5e05fl0i2rc2ni1ozwjqbtm.png
2720,Summons spirit of Ancient Dragon Knight Kristoff,"Legendary ashen remains.
Use to summon the spirit of Kristoff, the Ancient Dragon Knight.

Spirit of Kristoff, an honorable knight of Leyndell who was also a devout worshipper of the ancient dragons.
His skills strike down foes with thunderbolts, the dragons' weapon of choice.

After the First Defense of Leyndell, Kristoff earned the hero's honor of Erdtree Burial for the feat of capturing Godefroy the Grafted.",108.0,,1440,https://eldenring.fanapis.com/images/spirits/17f69f84b01l0i2rhicosayr42hna.png
2721,Summons three archer spirits,"Ashen remains in which spirits yet dwell.
Use to summon three archer spirits.

Spirits of archers who belonged to the Fallen Hawks, a band of soldiers that once explored the Eternal City. Their arrows are imbued with cold ghostflame.
Though their methods are somewhat crude, they work well as a squadron, firing a hail of arrows in unison at the sound of a war cry.",57.0,,454,https://eldenring.fanapis.com/images/spirits/17f69857498l0i2rc3b57qyly3sydo.png
2722,Summons two avionette soldier spirits,"Ashen remains in which spirits yet dwell.
Use to summon the spirits of two avionette soldiers.

Spirits of marionette soldiers with avian features that were created to serve a sorcerer.
Equipped with long-hafted scythes, they also attack from the skies by lobbing fire pots.
Can sometimes malfunction when damaged.",67.0,,646,https://eldenring.fanapis.com/images/spirits/17f69962123l0i2rc3wxphqaa3codo.png
2723,Summons two Azula beastman spirits,"Ashen remains in which spirits yet dwell.
Use to summon the spirits of two Azula beastmen.

Spirits of beastmen from doomed Farum Azula, the slowly crumbling ruins in the skies. These ruins are said to be the remains of a giant mausoleum enshrining an ancient dragon, guarded by chosen beastmen who wield weapons clad in lightning.",102.0,,646,https://eldenring.fanapis.com/images/spirits/17f69c1b5ebl0i2rhm76pm5x3fs02f.png
2724,Summons spirit of Banished Knight Engvall,"Ashen remains in which spirits yet dwell.
Use to summon the spirit of Engvall, the Banished Knight.

One of the two knights dubbed the Wings of the Storm. Despite his banishment, he rejected the invitation of the Grace-Given Lord, instead keeping watch over a masterless castle for many years, gaining renown as a hero of the fringes.",100.0,,1238,https://eldenring.fanapis.com/images/spirits/17f69bc440el0i2rho6izbci2my7fi.png
2725,Summons spirit of Banished Knight Oleg,"Ashen remains in which spirits yet dwell.
Use to summon the spirit of Oleg, the Banished Knight.

One of the two knights known as the Wings of the Storm. After his banishment, he attracted the notice of the Grace-Given Lord and later, having slain a hundred traitors as the Lord's hand, Oleg earned the hero's honor of Erdtree Burial.",100.0,,1238,https://eldenring.fanapis.com/images/spirits/17f69ac4bd0l0i2rc618tsrggfp3kh.png
2726,Summons spirit of Battlemage Hugues,"Ashen remains in which spirits yet dwell.
Use to summon the spirit of Battlemage Hugues.

Hugues came from Sellia to study the Haima Conspectus at the academy, where he became a battlemage.
Haima scholars seek to quell conflict with cannon fire and the gavel, but Hugues developed a longing for it.",122.0,,1165,https://eldenring.fanapis.com/images/spirits/17f698e5162l0i2rhsg27fvvcchhh8.png
2727,Summons spirit of Black Knife Tiche,"Legendary ashen remains.
Use to summon the spirit of Black Knife Tiche.

Tiche was one of the assassins who, on the night of the plot, imbued her black knife with the Rune of Death and slew Godwyn the Golden. She was the daughter of the Black Knife Ringleader, Alecto, and was killed protecting her mother during their flight from the royal capital.",132.0,,876,https://eldenring.fanapis.com/images/spirits/17f6970a4e0l0i2rcxy5mhe8469uy7.png
