id,info,description,weight,price,image_url
3249,Restores FP upon defeating enemies,"Item cut from the horns of the Regal Ancestor Spirit.

Restore FP upon defeating enemies.

A number of new growths bud from the antler-like horns of the fallen king, each glowing with light. Thus does new life grow from death, and from death, one obtains power.",1.2,500,https://eldenring.fanapis.com/images/talismans/17f6967466bl0i2swi5et1ibv4rc6r.png
3250,Increases bow effective range,"A talisman depicting three arrows.
Carried by hunters of beasts.

Increases the effective range of bows.",0.7,500,https://eldenring.fanapis.com/images/talismans/17f69dfff40l0i2soo71h481xlxzx8i.png
3251,Raises attack power of arrows and bolts,"A talisman depicting three iron arrows.
Carried by soldiers long ago.

Raises attack power of arrows and bolts.",0.7,500,https://eldenring.fanapis.com/images/talismans/17f69f4f7a3l0i2soioqe3qysjxaw.png
3252,Raises maximum equipment load,"An iron charm that resembles a mass of weaponry.
Boosts maximum equipment load.

This talisman was derived from an unusual greatsword once wielded by a hero hungry for vengeance.",1.5,100,https://eldenring.fanapis.com/images/talismans/17f69659e33l0i2soj4uhpxf54ncje.png
3253,Greatly raises maximum equip load,"An iron charm that resembles a mass of weaponry.
Greatly boosts maximum equipment load.

This talisman was derived from an unusual greatsword once wielded by a hero hungry for vengeance.",1.5,500,
3254,Critical hits restore FP,"An assassin's dagger, misshapen and stained in cerulean.
Critical hits restore FP.

This charm is modelled after the darkly gleaming blades used in the Night of Black Knives. Those which gave the demigods their first taste of Death.",0.8,1500,https://eldenring.fanapis.com/images/talismans/17f69d47ea5l0i2sokp40249x3da4f.png
3255,Critical hits restore HP,"An assassin's dagger, misshapen and stained in crimson.
Critical hits restore HP.

This charm is modelled after the darkly gleaming blades used in the Night of Black Knives. Those which gave the demigods their first taste of Death.",0.8,1500,https://eldenring.fanapis.com/images/talismans/17f697e45b3l0i2sol3u2c1y0ja11.png
3256,Enhances charge attacks,"A talisman depicting an axe and a warrior.
Enhances charge attacks.

The Lord who led the Long March bore an axe, and his loyal warriors honored him by wielding axes of their own, making them very effective at dealing decisive blows.",0.8,500,https://eldenring.fanapis.com/images/talismans/17f69c74ab1l0i2sp8u8ehul0cxenh.png
3257,Slowly restores HP,"Talisman depicting a drop of the Erdtree's sap, a blessed boon.

Gradually restores HP.

It was once thought that the blessed sap of the Erdtree would drip from its boughs forever—but that age of plenty swiftly came to a close, and with time, the Erdtree became more an object of faith.",0.6,1000,https://eldenring.fanapis.com/images/talismans/17f69977289l0i2spaggtt1hdtxhk4.png
3258,Raises attack power with lower equipment load,"A cloth doll depicting a dancer garbed in blue.
An ancient heirloom of some sort.

Raises attack power with lower equipment load.

The dancer in blue represents a fairy, who in legend bestowed a flowing sword upon a blind swordsman. Blade in hand, the swordsman sealed away an ancient god—a god that was Rot itself.",0.9,500,https://eldenring.fanapis.com/images/talismans/17f69811f79l0i2spa5kavq1z95u5i.png
3259,Raises defense when HP is low,"A talisman adorned with blue feathers, once used in ancient death rituals.
Raises defense when HP is low.

The heart sings when one draws close to death, and thus does one cling so tenaciously to life—to render up a death worth offering.",1.1,500,
3260,Boosts lightning damage negation,"Talisman depicting a yellow ancient dragon.
Boosts lightning damage negation.

The ancient dragons, who ruled in the prehistoric era before the Erdtree, would protect their lord as a wall of living rock.
And so it is that the shape of the dragon has become symbolic of all manner of protections.",0.6,100,https://eldenring.fanapis.com/images/talismans/17f697718ffl0i2sp9dowe0oahaam.png
3261,Greatly boosts lightning damage negation,"Talisman depicting a duo of yellow ancient dragons.
Greatly boosts lightning damage negation.

The ancient dragons, who ruled in the prehistoric era before the Erdtree, would protect their lord as a wall of living rock.
And so it is that the shape of the dragon has become symbolic of all manner of protections.",0.6,500,
3262,Vastly boosts lightning damage negation,"Talisman depicting a trio of yellow ancient dragons.
Vastly boosts lightning damage negation.

The ancient dragons, who ruled in the prehistoric era before the Erdtree, would protect their lord as a wall of living rock.
And so it is that the shape of the dragon has become symbolic of all manner of protections.",0.6,1000,
3263,Raises poise,"A talisman depicting the horns of a bull-goat.
Raises poise.

Bull-goats are associated with the stout and mighty Tragoth, said to be unflinching in combat—now a silent comrade to those who fight.",0.5,1000,
3264,Lowers FP consumed by skills,"A talisman adorned with the royal crest.

Lowers FP consumed by skills.

An honor said to have once been awarded to Carian knights who served as direct retainers to the kingdom's princesses. Now there is only one princess: Ranni, daughter of Rennala.",0.8,1000,https://eldenring.fanapis.com/images/talismans/17f69e97eaal0i2sq1lvpkd5cfq2q.png
3265,Raises maximum FP,"A medallion with cerulean amber inlaid.
Boosts maximum FP.

The Erdtree's old sap becomes amber, treasured as the most precious of jewels in the age of Godfrey, the first Elden Lord.

A primordial life energy resides inside.",0.3,100,https://eldenring.fanapis.com/images/talismans/17f69ed62a2l0i2sq0x8kqy5oe9mwn.png
3266,Greatly raises maximum FP,"A medallion with cerulean amber inlaid.
Greatly boosts maximum FP.

The Erdtree's old sap becomes amber, treasured as the most precious of jewels in the age of Godfrey, the first Elden Lord.

A primordial life energy resides inside.",0.3,500,
3267,Vastly raises maximum FP,"A medallion with cerulean amber inlaid.
Vastly boosts maximum FP.

The Erdtree's old sap becomes amber, treasured as the most precious of jewels in the age of Godfrey, the first Elden Lord.

A primordial life energy resides inside.",0.3,1000,
3268,Boosts FP restoration from Flask of Cerulean Tears,"A cerulean-colored talisman patterned after an Erdtree seed.
Boosts FP restoration from the Flask of Cerulean Tears.

The Erdtree was once perfect and eternal, and thus was it believed that Erdtree seeds could not exist.",0.8,1000,https://eldenring.fanapis.com/images/talismans/17f69dc1892l0i2sq1oh9i2x6tlarj.png
3269,Raises focus,"An accoutrement worn by the ancestral followers.
Raises focus.
(Focus governs resistance to sleep and madness.)

Said to be a budding horn. The ancestral followers believe that the horns of a long-lived beast continue to bud like antlers, over and over again, until the beast one day becomes an ancestral spirit.",0.6,500,https://eldenring.fanapis.com/images/talismans/17f69942443l0i2sq2zl2bttnq08hp.png
3270,Greatly raises focus,"An accoutrement worn by the ancestral followers.
Greatly raises focus.
(Focus governs resistance to sleep and madness.)

Said to be a budding horn. The ancestral followers believe that the horns of a long-lived beast continue to bud like antlers, over and over again, until the beast one day becomes an ancestral spirit.",0.6,1000,
3271,Enhances jump attacks,"A talisman depicting a claw and an assassin.
Enhances jump attacks.

The assassins of Ravenmount are killers by trade. They assail their victims while dressed as birds of prey.",0.7,500,https://eldenring.fanapis.com/images/talismans/17f69ba1d62l0i2sq92f4o8t2tlzp7.png
3272,Raises potency of throwing pots,"A talisman given by the jars to their friends.
Raises potency of thrown jars.

Though the jars are brought to life by human flesh and blood, they are all rather kindly folk. Perhaps they were made to be better than their innards.",0.6,500,https://eldenring.fanapis.com/images/talismans/17f69eaed7fl0i2sz3buubfj570rq.png
3273,Conceals wearer while crouching away from foes,"Talisman put together from dark cloth with a lustrous sheen.

Completely conceals the wearer's presence while crouching at a distance from foes.

Part of one of the concealing veils used by the assassins on the Night of Black Knives.",0.9,500,https://eldenring.fanapis.com/images/talismans/17f69c9bfc8l0i2sze3h5gawcr577p.png
