id,name
1,Quickstep
2,Blade of Death
3,Parry
4,Reduvia Blood Blade
5,Glintstone Dart
6,Repeating Thrust
7,Blade of Gold
8,Square Off
9,Kick
10,Golden Tempering
11,Last Rites
12,Flowing Form
13,Sacred Blade
14,Unblockable Blade
15,Night-and-Flame Stance
16,Spinning Slash
17,Carian Grandeur
18,Mists of Slumber
19,Eochaid's Dancing Blade
20,Glintstone Pebble
21,Stamp (Upward Cut)
22,Ordovis's Vortex
23,Alabaster Lords' Pull
24,Moonlight Greatsword
25,Wave of Gold
26,Ruinous Ghostflame
27,Taker's Flames
28,Shriek of Milos
29,Establish Order
30,Lion's Claw
31,Vacuum Slice
32,Ghostflame Ignition
33,Corpse Wax Cutter
34,Destined Death
35,Troll's Roar
36,Starcaller Cry
37,Wolf's Assault
38,The Queen's Black Flame
39,Wave of Destruction
40,Oath of Vengeance
41,Impaling Thrust
42,Dynast's Finesse
43,Thundercloud Form
44,Magma Shower
45,Nebula
46,Death Flare
47,Onyx Lords' Repulsion
48,Bloodhound's Finesse
49,Magma Guillotine
50,Zamor Ice Storm
51,Cursed-Blood Slice
52,Unsheathe
53,Waterfowl Dance
54,Gravitas
55,Corpse Piler
56,Transient Moonlight
57,Ice Lightning Sword
58,Double Slash
59,Black Flame Tornado
60,Bloodblade Dance
61,Barbaric Roar
62,Blood Tax
63,Oracular Bubble
64,Knowledge Above All
65,Claw Flick
66,Gold Breaker
67,Braggart's Roar
68,Endure
69,Regal Beastclaw
70,Bubble Shower
71,Surge of Faith
72,Devourer of Worlds
73,Spinning Chain
74,Familal Rancor
75,Wild Strikes
76,Hoarfrost Stomp
77,War Cry
78,Rosus's Summons
79,Thunderstorm
80,I Command Thee
81,Soul Stifler
82,Sacred Phalanx
83,Golden Land
84,Charge Forth
85,Ancient Lightning Spear
86,Spearcall Ritual
87,Bloodboon Ritual
88,Siluria's Woe
89,Great-Serpent Hunt
90,Frenzyflame Thrust
91,Shared Order
92,Sacred Order
93,Rallying Standard
94,Golden Vow
95,Loretta's Slash
96,Miquella's Ring of Light
97,Angel's Wings
98,Sea of Magma
99,Flame Dance
100,Bear Witness!
101,Lifesteal Fist
102,Storm Kick
103,Bloodhound's Step
104,Prelate's Charge
105,Sorcery of the Crozier
106,Great Oracular Bubble
107,Regal Roar
108,Erdtree Slam
109,Gravity Bolt
110,Spinning Wheel
111,Torch Attack
112,Firebreather
113,Fires of Slumber
114,Buckler Parry
115,No Skill
116,Shield Bash
117,Viper Bite
118,Barricade Shield
119,Golden Retaliation
120,Contagious Fury
121,Flame Spit
122,Tongues of Fire
123,Spinning Weapon
124,Barrage
125,Mighty Shot
126,Radahn's Rain
127,Through and Through
128,Storm Stomp
129,Poisonous Mist
130,Waves of Darkness
131,Ground Slam
132,Hoarah Loux's Earthshaker
133,Assassin's Gambit
134,Ice Spear
135,Bloody Slash
136,Spectral Lance
137,Flaming Strike
138,Lightning Ram
139,Lightning Slash
140,Poison Moth Flight
141,Flame of the Redmanes
142,Raptor of the Mists
143,Carian Greatsword
144,Eruption
145,Stamp (Sweep)
146,Carian Retaliation
147,Earthshaker
148,Golden Parry
149,Holy Ground
150,Thunderbolt
151,Sacred Ring of Light
152,Seppuku
153,White Shadow's Lure
154,Cragblade
155,Shield Crash
156,Blood Blade
157,Beast's Roar
158,Phantom Slash
159,Sword Dance
160,Vow of the Indomitable
161,Chilling Mist
162,Golden Slam
163,Giant Hunt
164,Glintblade Phalanx
165,Stormcaller
166,Determination
167,Glintstone Pebble Skill
168,Prayerful Strike
169,Piercing Fang
170,Storm Assault
171,Enchanted Shot
172,Rain of Arrows
173,Thops's Barrier
174,Spinning Strikes
175,Royal Knight's Resolve
176,Storm Wall
177,Storm Blade
