id,group_id,name,description,weapon_passive_id,hidden_effect_id,default_skill_id,weight,req_str,req_dex,req_int,req_fai,req_arc,image_url
1,1,Dagger,"A standard dagger with a straight blade.

Though modest in reach and capacity for harm, this weapon is light enough to jab in rapid succession and delivers devastating critical hits.",,,1,1.5,5,9,0,0,0,https://eldenring.fanapis.com/images/weapons/17f699693fbl0i1otqw0glcy3u6fp0k.png
2,1,Black Knife,"Dagger once belonging to one of the assassins who murdered Godwyn the Golden on the Night of the Black Knives.

A ritual performed on the oddly misshapen blade imbued it with the power of the stolen Rune of Death.",,,2,2,8,12,0,18,0,https://eldenring.fanapis.com/images/weapons/17f69bb7d32l0i1ou85ft99zwecdel.png
3,1,Parrying Dagger,"A knife with curved handguards.
Designed to parry, turning foes' attacks against them.

For masters of combat who anticipate every enemy strike and counter accordingly, this weapon is all they need.",,,3,1.5,5,14,0,0,0,https://eldenring.fanapis.com/images/weapons/17f6959f1adl0i1ou9x8vs08p3u09g.png
4,1,Miséricorde,"Dagger favored by military physicians in white.
The pointed blade is hard and sharp, making critical hits especially potent.

Medicine is mercy, and mercy upon the battlefield is ruthless. Beware the killers clothed as men of compassion.",,,1,2,7,12,0,0,0,https://eldenring.fanapis.com/images/weapons/17f69aa066dl0i1ouek4e8nmlybotp.png
5,1,Reduvia,"Jagged dagger with a distinctive curved blade.
Used by the noble servants of the Lord of Blood.

This dagger rips the flesh as it enters, inflicting blood loss with sickening efficacy. A proud testament to the success of its vicious design, this weapon is perpetually coated in blood. ",3,,4,2.5,5,13,0,0,13,https://eldenring.fanapis.com/images/weapons/17f69d42419l0i1oujp0m1csaaqdanf.png
6,1,Crystal Knife,"A knife made by sharpening hard crystal.
Signature weapon of glintstone miners.

Used as tool to extract glintstone from broken rock, and as such a faint magic enwreathes the blade.",,,1,2,8,12,9,0,0,https://eldenring.fanapis.com/images/weapons/17f695c23a5l0i1ourjc45t3ot8y0r.png
7,1,Celebrant's Sickle,"Sickle decorated with flowers and many-colored fabrics. Ceremonial tool used by dancers during the festivities of Dominula. Its attacks can slip through an enemy's guard.

Crafted from human bone.
Grants trace amounts of runes on landing attacks.",,26,1,1.5,6,11,0,0,0,https://eldenring.fanapis.com/images/weapons/17f69538376l0i1ouzstk2t2dod57i.png
8,1,Glintstone Kris,"Ritual blade once presented to Leyndell by the Academy of Raya Lucaria to celebrate their newfound peace. Though the weapon is embedded with precious glintstones and features Erdtree ornamentation, the undulating blade is symbolic of an ancient ritual.",,,5,1.5,5,12,16,0,0,https://eldenring.fanapis.com/images/weapons/17f69756a35l0i1ov1vi3cb4201sxa.png
9,1,Scorpion's Stinger,"Dagger fashioned from a great scorpion's tail, glistening with scarlet rot.

A ceremonial tool used by heretics, crafted from the relic of a sealed outer god.",4,,6,2.5,6,12,0,0,0,https://eldenring.fanapis.com/images/weapons/17f69d58e08l0i1ovazqw2hxmxgdc.png
10,1,Great Knife,"Large knife with a broad, curved blade.

This weapon is designed to slash and rend, inflicting blood loss upon the recipient.",3,,1,1.5,6,12,0,0,0,https://eldenring.fanapis.com/images/weapons/17f6994d16cl0i1ovl2w2asf8hogd.png
11,1,Wakizashi,"Short sword with a tempering pattern on the blade.
A weapon unique to warriors of the Land of Reeds.
Afflicts targets with blood loss.
These swords are considered auxiliary weapons.
Yet, one man is known to wield this weapon in his left hand while using a full-sized katana in his right. A demonic swordsman known only as Okina.",3,,1,3,9,13,0,0,0,https://eldenring.fanapis.com/images/weapons/17f69a01b63l0i1ovq80hzuqcz211pn.png
12,1,Cinquedea,"Short sword given to high ranking clergymen of Farum Azula.
Raises potency of bestial incantations.

The design celebrates a beast's five fingers, symbolic of the intelligence once granted upon their kind.",,27,1,3.5,10,10,0,0,0,https://eldenring.fanapis.com/images/weapons/17f6986cfc4l0i1ovvz1l7bcfxqjc9.png
13,1,Ivory Sickle,"Sickle fashioned from ivory.
Weapon carried by aged Albinaurics.

These weapons are evidence of their dedication to the Haligtree, despite never having entered its presence.",,,1,2,6,11,13,0,0,https://eldenring.fanapis.com/images/weapons/17f69dba532l0i1ow5zn175dgtjn5d.png
14,1,Bloodstained Dagger,"Dagger with a bloodstained blade.
Afflicts targets with blood loss.

As blood darkened the dagger through repeated slashing and stabbing, its blade only grew sharper and harder.",3,,1,2,9,12,0,0,0,https://eldenring.fanapis.com/images/weapons/17f69568512l0i1owirx8rozwu94e.png
15,1,Erdsteel Dagger,"An erdsteel dagger with a grass crest engraved upon its blade. Carried by the Erdtree royalty for self-defense in times of peace.

Though forged to a high standard, the weapon is difficult to wield.
Attack power also scales with faith.",,,1,2,7,12,0,14,0,https://eldenring.fanapis.com/images/weapons/17f69c27224l0i1owfsl4rcc4fgbpe.png
16,1,Blade of Calling,"Dagger given to one who set out on a journey to fulfill her duty long ago. The power of its former owner, the kindling maiden, is still apparent.

The one who walks alongside flame,
Shall one day meet the road of Destined Death.",,,7,1.5,6,13,0,15,0,https://eldenring.fanapis.com/images/weapons/17f69619348l0i1owhkpnh4pq8aju.png
17,2,Longsword,"A straight sword with a double-edged blade.

In addition to its reliable standard damage, this weapon also boasts powerful piercing attacks. A superbly balanced armament.
",,,8,3.5,10,10,0,0,0,https://eldenring.fanapis.com/images/weapons/17f69a84ec9l0i1pl7rf93vq4jlbt8.png
18,2,Short Sword,"A short straight sword with a short blade.
In addition to its reliable standard damage, this weapon also boasts powerful piercing attacks.

Lightweight amongst straight swords, this weapon is easy to wield, requiring only humble attributes.",,,9,3,8,10,0,0,0,https://eldenring.fanapis.com/images/weapons/17f699b4949l0i1plb5z4sznm17g7p.png
19,2,Broadsword,"A straight sword with a wide blade, suited to slashing attacks.

Horizontal swings boast wide attack range, making it easier to connect with foes.",,,8,4,10,10,0,0,0,https://eldenring.fanapis.com/images/weapons/17f696356b4l0i1pljd3dmbyei0rzd.png
20,2,Lordsworn's Straight Sword,"Well-crafted straight sword with an illustrious
design, wielded by regulars of a lord's army.

Though blackened and damaged by years of use,
it appears to have otherwise been kept in a
serviceable condition, despite the soldiers having
long since lost their minds.",,,8,3.5,10,10,0,0,0,https://eldenring.fanapis.com/images/weapons/17f69b31ef4l0i1plkiau08p955pt5.png
21,2,Weathered Straight Sword,"Straight sword with a rather short but wide blade.
Simple to wield, it was known as the sword of the people.

Though the Erdtree styling is still visible, time has not been kind to this sword, now merely a shadow of its former self.",,,8,3,7,10,0,0,0,https://eldenring.fanapis.com/images/weapons/17f6953c2f2l0i1pltkmb7nxuvfxgo.png
