id,group_id,weapon_id,name,desc,weapon_passive_id,hidden_effect_id,default_skill_id,weight,req_str,req_dex,req_int,req_fai,req_arq
100,1,00,Dagger,"A standard dagger with a straight blade.

Though modest in reach and capacity for harm, this weapon is light enough to jab in rapid succession and delivers devastating critical hits.",-,-,Quickstep,1.5,5,9,0,0,0
102,1,02,Parrying Dagger,"A knife with curved handguards.
Designed to parry, turning foes' attacks against them.

For masters of combat who anticipate every enemy strike and counter accordingly, this weapon is all they need.",-,-,Parry,1.5,5,14,0,0,0
103,1,03,Miséricorde,"Dagger favored by military physicians in white.
The pointed blade is hard and sharp, making critical hits especially potent.

Medicine is mercy, and mercy upon the battlefield is ruthless. Beware the killers clothed as men of compassion.",-,-,Quickstep,2,7,12,0,0,0
109,1,09,Great Knife,"Large knife with a broad, curved blade.

This weapon is designed to slash and rend, inflicting blood loss upon the recipient.",Causes blood loss buildup (),-,Quickstep,1.5,6,12,0,0,0
114,1,14,Bloodstained Dagger,"Dagger with a bloodstained blade.
Afflicts targets with blood loss.

As blood darkened the dagger through repeated slashing and stabbing, its blade only grew sharper and harder.",Causes blood loss buildup (),-,Quickstep,2,9,12,0,0,0
115,1,15,Erdsteel Dagger,"An erdsteel dagger with a grass crest engraved upon its blade. Carried by the Erdtree royalty for self-defense in times of peace.

Though forged to a high standard, the weapon is difficult to wield.
Attack power also scales with faith.",-,-,Quickstep,2,7,12,0,14,0
110,1,10,Wakizashi,"Short sword with a tempering pattern on the blade.
A weapon unique to warriors of the Land of Reeds.
Afflicts targets with blood loss.
These swords are considered auxiliary weapons.
Yet, one man is known to wield this weapon in his left hand while using a full-sized katana in his right. A demonic swordsman known only as Okina.",Causes blood loss buildup (),-,Quickstep,3,9,13,0,0,0
106,1,06,Celebrant's Sickle,"Sickle decorated with flowers and many-colored fabrics. Ceremonial tool used by dancers during the festivities of Dominula. Its attacks can slip through an enemy's guard.

Crafted from human bone.
Grants trace amounts of runes on landing attacks.",-,Rune Gain on Hit,Quickstep,1.5,6,11,0,0,0
113,1,13,Ivory Sickle,"Sickle fashioned from ivory.
Weapon carried by aged Albinaurics.

These weapons are evidence of their dedication to the Haligtree, despite never having entered its presence.",-,-,Quickstep,2,6,11,13,0,0
105,1,05,Crystal Knife,"A knife made by sharpening hard crystal.
Signature weapon of glintstone miners.

Used as tool to extract glintstone from broken rock, and as such a faint magic enwreathes the blade.",-,-,Quickstep,2,8,12,9,0,0
108,1,08,Scorpion's Stinger,"Dagger fashioned from a great scorpion's tail, glistening with scarlet rot.

A ceremonial tool used by heretics, crafted from the relic of a sealed outer god.",Causes scarlet rot buildup (),-,Repeating Thrust,2.5,6,12,0,0,0
111,1,11,Cinquedea,"Short sword given to high ranking clergymen of Farum Azula.
Raises potency of bestial incantations.

The design celebrates a beast's five fingers, symbolic of the intelligence once granted upon their kind.",-,Boost Incantation Power,Quickstep,3.5,10,10,0,0,0
107,1,07,Glintstone Kris,"Ritual blade once presented to Leyndell by the Academy of Raya Lucaria to celebrate their newfound peace. Though the weapon is embedded with precious glintstones and features Erdtree ornamentation, the undulating blade is symbolic of an ancient ritual.",-,-,Glintstone Dart,1.5,5,12,16,0,0
104,1,04,Reduvia,"Jagged dagger with a distinctive curved blade.
Used by the noble servants of the Lord of Blood.

This dagger rips the flesh as it enters, inflicting blood loss with sickening efficacy. A proud testament to the success of its vicious design, this weapon is perpetually coated in blood. ",Causes blood loss buildup (),-,Reduvia Blood Blade,2.5,5,13,0,0,13
116,1,16,Blade of Calling,"Dagger given to one who set out on a journey to fulfill her duty long ago. The power of its former owner, the kindling maiden, is still apparent.

The one who walks alongside flame,
Shall one day meet the road of Destined Death.",-,-,Blade of Gold,1.5,6,13,0,15,0
101,1,01,Black Knife,"Dagger once belonging to one of the assassins who murdered Godwyn the Golden on the Night of the Black Knives.

A ritual performed on the oddly misshapen blade imbued it with the power of the stolen Rune of Death.",-,-,Blade of Death,2,8,12,0,18,0
201,2,01,Short Sword,"A short straight sword with a short blade.
In addition to its reliable standard damage, this weapon also boasts powerful piercing attacks.

Lightweight amongst straight swords, this weapon is easy to wield, requiring only humble attributes.",-,-,Kick,3,8,10,0,0,0
200,2,00,Longsword,"A straight sword with a double-edged blade.

In addition to its reliable standard damage, this weapon also boasts powerful piercing attacks. A superbly balanced armament.
",-,-,Square Off,3.5,10,10,0,0,0
202,2,02,Broadsword,"A straight sword with a wide blade, suited to slashing attacks.

Horizontal swings boast wide attack range, making it easier to connect with foes.",-,-,Square Off,4,10,10,0,0,0
205,2,05,Weathered Straight Sword,"Straight sword with a rather short but wide blade.
Simple to wield, it was known as the sword of the people.

Though the Erdtree styling is still visible, time has not been kind to this sword, now merely a shadow of its former self.",-,-,Square Off,3,7,10,0,0,0
204,2,04,Lordsworn's Straight Sword,"Well-crafted straight sword with an illustrious
design, wielded by regulars of a lord's army.

Though blackened and damaged by years of use,
it appears to have otherwise been kept in a
serviceable condition, despite the soldiers having
long since lost their minds.",-,-,Square Off,3.5,10,10,0,0,0
223,2,23,Noble's Slender Sword,"Narrow blade carried by wandering nobles.
Made to be easy to wield.

Daubed with gold from tip to tail, it should fetch a good sum.",-,-,Square Off,3.5,8,11,0,0,0
221,2,21,Cane Sword,"Beloved sword of an aged knight whose last quest was long behind him, repurposed into a walking stick. The tip is rather worn.

Though bent of back and without the brawn required even to raise the sword aloft, still he wished to meet his end with weapon in hand. ",-,-,Square Off,2.5,8,11,0,0,0
